customer_id,age,gender,city,category,purchase_channel,payment_method,loyalty_tier,purchase_amount_inr,discount_applied,discount_pct,review_rating,days_since_last_purchase,total_orders_last_year,returned_item,subscribed_newsletter,churned
CUST00001,39,Male,Mumbai,Books,Online App,Credit Card,Bronze,425.11,0,0.0,4.5,7,5,0,0,0
CUST00002,50,Female,Mumbai,Electronics,Online App,Credit Card,Silver,3654.95,0,0.0,4.4,9,5,0,1,0
CUST00003,24,Female,Hyderabad,Beauty & Personal Care,Website,UPI,Gold,391.57,0,0.0,5.0,10,4,0,0,0
CUST00004,31,Male,Chennai,Electronics,Online App,UPI,Bronze,3419.54,0,0.0,4.8,4,4,0,0,0
CUST00005,43,Female,Bhopal,Electronics,In-Store,Net Banking,Bronze,2302.48,0,0.0,4.1,35,8,0,1,0
CUST00006,18,Female,Jaipur,Apparel,Website,UPI,Silver,715.64,1,39.5,2.5,14,6,0,1,0
CUST00007,26,Female,Pune,Beauty & Personal Care,Website,Debit Card,Bronze,1120.2,0,0.0,4.8,66,4,0,1,0
CUST00008,44,Male,Jaipur,Books,Online App,Credit Card,Bronze,418.01,0,0.0,3.5,17,10,1,1,0
CUST00009,34,Male,Chennai,Grocery,Website,UPI,Bronze,616.28,0,0.0,4.0,107,4,0,0,1
CUST00010,18,Male,Jaipur,Books,Online App,Net Banking,Bronze,540.26,1,21.1,4.9,92,7,0,0,1
CUST00011,48,Female,Jaipur,Beauty & Personal Care,In-Store,Net Banking,Bronze,794.9,1,9.8,1.5,11,6,0,1,1
CUST00012,37,Male,Bangalore,Books,Online App,Net Banking,Silver,150.0,0,0.0,3.9,15,3,0,0,0
CUST00013,31,Female,Bhopal,Grocery,In-Store,UPI,Silver,784.43,0,0.0,3.9,190,8,0,1,0
CUST00014,21,Male,Pune,Beauty & Personal Care,Online App,UPI,Platinum,722.36,1,14.2,4.7,9,3,0,0,0
CUST00015,41,Male,Pune,Grocery,Website,Cash on Delivery,Bronze,357.6,0,0.0,4.4,22,6,0,1,0
CUST00016,23,Male,Jaipur,Home & Kitchen,Website,UPI,Platinum,2400.16,1,34.1,5.0,33,6,0,0,0
CUST00017,40,Male,Delhi,Books,Website,UPI,Platinum,669.07,0,0.0,4.1,0,2,0,1,0
CUST00018,43,Male,Pune,Sports & Fitness,In-Store,Net Banking,Platinum,3143.36,1,31.4,4.3,47,8,0,1,0
CUST00019,18,Female,Chennai,Beauty & Personal Care,In-Store,Net Banking,Bronze,622.16,0,0.0,4.7,44,7,0,0,0
CUST00020,31,Male,Jaipur,Apparel,Online App,UPI,Bronze,1140.42,1,35.1,4.6,153,7,0,0,1
